name,rate,priority,class_type,zip_postal_code,status
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99501,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99502,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99503,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99504,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99505,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99506,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99507,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99508,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99509,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99510,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99511,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99513,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99514,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99515,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99516,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99517,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99518,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99519,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99520,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99521,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99522,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99523,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99524,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99529,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99530,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99540,active
AK - (ALASKA),0,0,zip-postal-code,99545,active
AK - (ADAK),4,0,zip-postal-code,99546,active
AK - (ATKA),0,0,zip-postal-code,99547,active
AK - (KODIAK ISLAND BOROUGH),0,0,zip-postal-code,99548,active
AK - (PORT HEIDEN),0,0,zip-postal-code,99549,active
AK - (KODIAK ISLAND BOROUGH),0,0,zip-postal-code,99550,active
AK - (ALASKA),0,0,zip-postal-code,99551,active
AK - (AKIAK),0,0,zip-postal-code,99552,active
AK - (AKUTAN),0,0,zip-postal-code,99553,active
AK - (ALAKANUK),4,0,zip-postal-code,99554,active
AK - (ALEKNAGIK),5,0,zip-postal-code,99555,active
AK - (KENAI PENINSULA),3,0,zip-postal-code,99556,active
AK - (ANIAK),2,0,zip-postal-code,99557,active
AK - (ANVIK),0,0,zip-postal-code,99558,active
AK - (BETHEL),6,0,zip-postal-code,99559,active
AK - (CHEFORNAK),2,0,zip-postal-code,99561,active
AK - (CHEVAK),3,0,zip-postal-code,99563,active
AK - (CHIGNIK),0,0,zip-postal-code,99564,active
AK - (KENAI),6,0,zip-postal-code,99565,active
AK - (ALASKA),0,0,zip-postal-code,99566,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99567,active
AK - (KENAI PENINSULA),3,0,zip-postal-code,99568,active
AK - (CLARKS POINT),6,0,zip-postal-code,99569,active
AK - (COLD BAY),0,0,zip-postal-code,99571,active
AK - (KENAI PENINSULA),3,0,zip-postal-code,99572,active
AK - (ALASKA),0,0,zip-postal-code,99573,active
AK - (CORDOVA),6,0,zip-postal-code,99574,active
AK - (ALASKA),0,0,zip-postal-code,99575,active
AK - (DILLINGHAM),6,0,zip-postal-code,99576,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99577,active
AK - (EEK),2,0,zip-postal-code,99578,active
AK - (EGEGIK),0,0,zip-postal-code,99579,active
AK - (EKWOK),0,0,zip-postal-code,99580,active
AK - (EMMONAK),4,0,zip-postal-code,99581,active
AK - (FALSE PASS),3,0,zip-postal-code,99583,active
AK - (MARSHALL),4,0,zip-postal-code,99585,active
AK - (ALASKA),0,0,zip-postal-code,99586,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99587,active
AK - (ALASKA),0,0,zip-postal-code,99588,active
AK - (GOODNEWS BAY),0,0,zip-postal-code,99589,active
AK - (GRAYLING),0,0,zip-postal-code,99590,active
AK - (SAINT GEORGE),0,0,zip-postal-code,99591,active
AK - (ANCHORAGE BOROUGH),0,0,zip-postal-code,99599,active
AK - (HOLY CROSS),0,0,zip-postal-code,99602,active
AK - (HOMER),7.85,0,zip-postal-code,99603,active
AK - (HOOPER BAY),5,0,zip-postal-code,99604,active
AK - (KENAI PENINSULA),3,0,zip-postal-code,99605,active
AK - (KENAI PENINSULA),3,0,zip-postal-code,99606,active
AK - (UPPER KALSKAG),0,0,zip-postal-code,99607,active
AK - (KODIAK ISLAND BOROUGH),0,0,zip-postal-code,99608,active
AK - (ALASKA),0,0,zip-postal-code,99609,active
AK - (KENAI PENINSULA),3,0,zip-postal-code,99610,active
AK - (KENAI),6,0,zip-postal-code,99611,active
AK - (KING COVE),6,0,zip-postal-code,99612,active
AK - (BRISTOL BAY BOROUGH),0,0,zip-postal-code,99613,active
AK - (ALASKA),0,0,zip-postal-code,99614,active
AK - (KODIAK),7,0,zip-postal-code,99615,active
AK - (KODIAK),7,0,zip-postal-code,99619,active
AK - (KOTLIK),3,0,zip-postal-code,99620,active
AK - (KWETHLUK),5,0,zip-postal-code,99621,active
AK - (ALASKA),0,0,zip-postal-code,99622,active
